Tiempo de Reaccion,Tiempo de Disparo 1,Tiempo de Disparo2
0:0:1:88,0:0:3:07
0:11:5:20,0:0:0:0,0:0:0:0
0:39:6:92,0:39:6:93
0:0:2:18,0:0:0:0,0:0:0:0
0:0:2:01,0:0:0:0,0:0:0:0
