Tiempo de Reaccion,Tiempo de Disparo 1,Tiempo de Disparo2
0:0:3:15,0:0:3:18
0:0:3:66,0:0:0:0,0:0:0:0
0:0:2:29,0:0:0:0,0:0:0:0
0:0:0:69,0:0:0:0,0:0:0:0
0:0:4:80,0:0:0:0,0:0:0:0
0:0:4:41,0:0:0:0,0:0:0:0
