Tiempo de Reaccion,Tiempo de Disparo 1,Tiempo de Disparo2
0:0:7:75,0:0:9:09,0:0:0:0
0:0:9:69,0:0:9:72,0:0:0:0
0:0:4:54,0:0:5:62,0:0:0:0
0:1:2:97,0:1:3:01,0:0:0:0
0:7:4:78,0:7:6:90,0:0:0:0
0:12:6:71,0:12:6:85,0:0:0:0
0:17:1:90,0:17:3:19,0:0:0:0
0:21:5:43,0:21:7:66,0:0:0:0
0:26:4:20,0:26:6:42,0:0:0:0
