Tiempo de Reaccion,Tiempo de Disparo 1,Tiempo de Disparo2
0:0:9:77,0:1:8:65
0:0:8:75,0:0:0:0,0:0:0:0
0:2:6:56,0:0:0:0,0:0:0:0
