Tiempo de Reaccion,Tiempo de Disparo 1,Tiempo de Disparo2
0:0:5:77,0:1:4:69
0:0:7:20,0:1:9:62
0:1:4:75,0:1:5:83,0:0:0:0
0:0:7:63,0:1:4:65
0:0:3:95,0:1:6:29,0:0:0:0
0:1:4:83,0:1:5:91
0:1:3:60,0:1:8:19,0:0:0:0
